Post Code,Count
810,1
812,1
813,1
820,1
822,2
828,1
830,1
850,2
870,2
872,1
2000,2
2006,2
2007,2
2010,3
2018,1
2022,2
2031,1
2032,1
2033,1
2035,1
2036,1
2038,1
2039,1
2042,1
2044,1
2046,1
2047,1
2048,1
2065,1
2067,2
2075,1
2077,1
2088,1
2095,1
2099,1
2100,1
2101,1
2117,2
2120,1
2121,1
2122,1
2131,1
2133,1
2134,2
2137,1
2140,1
2142,1
2144,1
2146,1
2148,1
2150,3
2153,1
2154,1
2155,1
2161,1
2162,1
2164,1
2165,2
2166,6
2190,1
2194,2
2195,1
2200,2
2204,1
2208,1
2216,1
2220,1
2222,1
2223,1
2250,4
2251,2
2256,1
2261,1
2262,1
2264,1
2280,1
2281,1
2283,1
2284,1
2287,1
2290,2
2303,1
2320,1
2324,1
2325,1
2328,1
2330,1
2333,1
2337,1
2340,3
2351,1
2358,1
2360,1
2370,1
2380,1
2400,1
2420,1
2422,1
2428,1
2429,1
2430,1
2431,1
2439,1
2440,1
2441,1
2443,1
2444,1
2446,1
2447,1
2448,1
2449,1
2450,2
2452,1
2454,1
2455,1
2456,1
2460,1
2464,1
2470,1
2478,1
2480,2
2481,1
2482,1
2484,1
2485,1
2486,1
2489,1
2557,1
2559,1
2560,4
2567,2
2576,1
2577,1
2582,1
2600,1
2601,3
2602,1
2605,1
2606,1
2611,1
2616,1
2620,1
2640,3
2641,2
2650,4
2660,1
2663,1
2666,1
2710,1
2713,1
2720,1
2750,3
2756,1
2759,1
2760,1
2763,1
2765,1
2767,1
2770,1
2774,1
2777,2
2783,1
2790,1
2794,1
2795,1
2800,2
2820,1
2821,1
2830,4
2840,2
2870,1
2871,1
2880,1
2900,1
2905,1
2906,1
2912,1
3000,2
3011,2
3012,2
3015,2
3019,1
3020,1
3021,1
3024,1
3025,1
3028,1
3030,2
3037,1
3039,1
3044,1
3047,1
3064,1
3065,1
3070,1
3071,2
3072,1
3073,1
3076,1
3087,1
3088,1
3107,1
3113,1
3122,1
3124,1
3132,1
3134,1
3136,1
3141,1
3145,1
3149,1
3150,1
3155,1
3160,1
3163,1
3166,2
3168,1
3170,1
3171,2
3172,1
3175,1
3181,1
3182,1
3188,1
3194,1
3195,1
3196,1
3199,1
3201,1
3205,1
3207,1
3212,1
3216,1
3219,1
3222,1
3228,1
3264,1
3266,1
3300,1
3311,1
3337,1
3338,1
3340,1
3350,2
3380,1
3400,1
3429,1
3435,1
3450,1
3500,1
3502,1
3523,1
3549,1
3550,2
3564,1
3579,1
3585,1
3620,1
3630,1
3644,1
3677,1
3690,1
3699,1
3730,1
3732,1
3733,1
3741,1
3782,1
3800,1
3805,2
3807,1
3810,1
3825,1
3840,1
3844,1
3847,1
3875,1
3888,1
3890,1
3909,1
3915,1
3931,1
3939,1
3953,1
3977,1
3984,1
4005,1
4012,1
4019,1
4020,1
4035,1
4053,1
4059,1
4065,1
4069,1
4076,2
4077,2
4078,1
4102,1
4109,1
4110,1
4114,2
4122,1
4127,1
4157,1
4170,1
4178,1
4207,1
4210,1
4211,1
4215,2
4300,1
4304,1
4305,3
4306,1
4341,1
4343,1
4350,2
4380,1
4413,1
4500,1
4501,1
4507,1
4509,1
4510,2
4550,1
4551,1
4558,1
4560,1
4566,1
4568,1
4570,1
4575,1
4655,1
4660,1
4670,1
4671,1
4680,2
4703,1
4740,2
4800,1
4807,1
4814,1
4815,1
4818,1
4860,1
4879,1
4883,1
5000,11
5007,1
5011,1
5013,1
5014,1
5015,2
5019,1
5021,1
5023,3
5033,1
5034,1
5035,1
5037,1
5042,1
5043,1
5045,1
5046,1
5061,1
5065,1
5067,1
5072,1
5074,1
5085,1
5086,2
5088,1
5092,1
5095,2
5096,1
5107,1
5108,3
5110,1
5112,1
5118,1
5154,1
5158,1
5159,1
5161,1
5162,1
5164,1
5165,1
5168,1
5169,1
5173,1
5211,1
5214,1
5233,1
5251,1
5253,1
5255,1
5256,1
5271,1
5290,2
5333,1
5341,1
5355,1
5540,1
5554,1
5608,1
5700,2
6000,2
6003,1
6004,1
6009,1
6014,1
6018,1
6021,1
6026,1
6027,3
6030,1
6038,1
6051,1
6052,1
6053,1
6056,1
6058,1
6059,1
6060,1
6061,2
6062,2
6063,1
6064,1
6065,1
6066,1
6069,1
6076,1
6100,2
6102,1
6105,1
6107,2
6108,1
6110,2
6112,2
6148,2
6149,1
6150,1
6154,1
6160,1
6162,1
6163,2
6164,1
6167,1
6168,2
6169,1
6210,2
6230,2
6255,1
6258,1
6280,1
6302,1
6304,1
6317,1
6330,2
6333,1
6353,1
6450,2
6516,1
6530,2
6725,1
6728,1
6740,1
7000,2
7010,2
7011,1
7018,1
7019,2
7030,1
7050,1
7109,1
7171,1
7250,1
7260,1
7303,1
7310,1
7320,1
7330,1
